Original number: 155 current diff number: 0 , quantizated number: 155 , dequantizated number: 155 , decoded number: 155
Original number: 13 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 99747
Original number: 16 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 99750
Original number: 16 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 99750
Original number: 14 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 99752
Original number: 14 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 99752
Original number: 88 current diff number: 74 , quantizated number: 74 , dequantizated number: 74 , decoded number: 99826
Original number: 113 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 99851
Original number: 115 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 99853
Original number: 97 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 99871
Original number: 98 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 99872
Original number: 80 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 99890
Original number: 101 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 99911
Original number: 2 current diff number: 99 , quantizated number: 99 , dequantizated number: 99 , decoded number: 100010
Original number: 12 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 100020
Original number: 128 current diff number: 116 , quantizated number: 116 , dequantizated number: 116 , decoded number: 100136
Original number: 51 current diff number: 77 , quantizated number: 77 , dequantizated number: 77 , decoded number: 100213
Original number: 139 current diff number: 88 , quantizated number: 88 , dequantizated number: 88 , decoded number: 100301
Original number: 66 current diff number: 73 , quantizated number: 73 , dequantizated number: 73 , decoded number: 100374
Original number: 52 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 100388
Original number: 111 current diff number: 59 , quantizated number: 59 , dequantizated number: 59 , decoded number: 100447
Original number: 144 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 100480
Original number: 131 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 100493
Original number: 122 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 100502
Original number: 130 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 100510
Original number: 238 current diff number: 108 , quantizated number: 108 , dequantizated number: 108 , decoded number: 100618
Original number: 107 current diff number: 131 , quantizated number: 131 , dequantizated number: 131 , decoded number: 100749
Original number: 81 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 100775
Original number: 67 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 100789
Original number: 86 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 100808
Original number: 74 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 100820
Original number: 68 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 100826
Original number: 59 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 100835
Original number: 76 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 100852
Original number: 135 current diff number: 59 , quantizated number: 59 , dequantizated number: 59 , decoded number: 100911
Original number: 135 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 100911
Original number: 65 current diff number: 70 , quantizated number: 70 , dequantizated number: 70 , decoded number: 100981
Original number: 12 current diff number: 53 , quantizated number: 53 , dequantizated number: 53 , decoded number: 101034
Original number: 25 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 101047
Original number: 34 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 101056
Original number: 146 current diff number: 112 , quantizated number: 112 , dequantizated number: 112 , decoded number: 101168
Original number: 86 current diff number: 60 , quantizated number: 60 , dequantizated number: 60 , decoded number: 101228
Original number: 99 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 101241
Original number: 91 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 101249
Original number: 81 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 101259
Original number: 125 current diff number: 44 , quantizated number: 44 , dequantizated number: 44 , decoded number: 101303
Original number: 71 current diff number: 54 , quantizated number: 54 , dequantizated number: 54 , decoded number: 101357
Original number: 49 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 101379
Original number: 17 current diff number: 32 , quantizated number: 32 , dequantizated number: 32 , decoded number: 101411
Original number: 8 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 101420
Original number: 31 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 101443
Original number: 32 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 101444
Original number: 47 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 101459
Original number: 54 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 101466
Original number: 58 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 101470
Original number: 46 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 101482
Original number: 18 current diff number: 28 , quantizated number: 28 , dequantizated number: 28 , decoded number: 101510
Original number: 11 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 101517
Original number: 54 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 101560
Original number: 130 current diff number: 76 , quantizated number: 76 , dequantizated number: 76 , decoded number: 101636
Original number: 188 current diff number: 58 , quantizated number: 58 , dequantizated number: 58 , decoded number: 101694
Original number: 182 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 101700
Original number: 185 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 101703
Original number: 190 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 101708
Original number: 177 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 101721
Original number: 148 current diff number: 29 , quantizated number: 29 , dequantizated number: 29 , decoded number: 101750
Original number: 80 current diff number: 68 , quantizated number: 68 , dequantizated number: 68 , decoded number: 101818
Original number: 47 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 101851
Original number: 50 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 101854
Original number: 109 current diff number: 59 , quantizated number: 59 , dequantizated number: 59 , decoded number: 101913
Original number: 104 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 101918
Original number: 110 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 101924
Original number: 102 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 101932
Original number: 89 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 101945
Original number: 59 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 101975
Original number: 56 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 101978
Original number: 60 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 101982
Original number: 66 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 101988
Original number: 66 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 101988
Original number: 66 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 101988
Original number: 67 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 101989
Original number: 68 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 101990
Original number: 101 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 102023
Original number: 133 current diff number: 32 , quantizated number: 32 , dequantizated number: 32 , decoded number: 102055
Original number: 142 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 102064
Original number: 129 current diff number: 13 , quantizated number: 13 , dequantizated number: 13 , decoded number: 102077
Original number: 128 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102078
Original number: 129 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102079
Original number: 119 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 102089
Original number: 111 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 102097
Original number: 133 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 102119
Original number: 123 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 102129
Original number: 121 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102131
Original number: 141 current diff number: 20 , quantizated number: 20 , dequantizated number: 20 , decoded number: 102151
Original number: 129 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 102163
Original number: 143 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 102177
Original number: 132 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 102188
Original number: 3 current diff number: 129 , quantizated number: 129 , dequantizated number: 129 , decoded number: 102317
Original number: 13 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 102327
Original number: 12 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102328
Original number: 12 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102328
Original number: 11 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102329
Original number: 11 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102329
Original number: 12 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102330
Original number: 13 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 102331
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102333
Original number: 13 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102335
Original number: 14 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102336
Original number: 16 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102338
Original number: 14 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102340
Original number: 9 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 102345
Original number: 10 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102346
Original number: 15 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 102351
Original number: 14 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102352
Original number: 17 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 102355
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102357
Original number: 10 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 102362
Original number: 13 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 102365
Original number: 20 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 102372
Original number: 18 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 102374
Original number: 9 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 102383
Original number: 10 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102384
Original number: 146 current diff number: 136 , quantizated number: 136 , dequantizated number: 136 , decoded number: 102520
Original number: 160 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 102534
Original number: 150 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 102544
Original number: 144 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 102550
Original number: 132 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 102562
Original number: 133 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 102563
Original number: 155 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 102585
Original number: 19 current diff number: 136 , quantizated number: 136 , dequantizated number: 136 , decoded number: 102721
Original number: 30 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 102732
Original number: 141 current diff number: 111 , quantizated number: 111 , dequantizated number: 111 , decoded number: 102843
Original number: 64 current diff number: 77 , quantizated number: 77 , dequantizated number: 77 , decoded number: 102920
Original number: 146 current diff number: 82 , quantizated number: 82 , dequantizated number: 82 , decoded number: 103002
Original number: 101 current diff number: 45 , quantizated number: 45 , dequantizated number: 45 , decoded number: 103047
Original number: 58 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 103090
Original number: 146 current diff number: 88 , quantizated number: 88 , dequantizated number: 88 , decoded number: 103178
Original number: 87 current diff number: 59 , quantizated number: 59 , dequantizated number: 59 , decoded number: 103237
Original number: 54 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 103270
Original number: 81 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 103297
Original number: 124 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 103340
Original number: 198 current diff number: 74 , quantizated number: 74 , dequantizated number: 74 , decoded number: 103414
Original number: 187 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 103425
Original number: 65 current diff number: 122 , quantizated number: 122 , dequantizated number: 122 , decoded number: 103547
Original number: 99 current diff number: 34 , quantizated number: 34 , dequantizated number: 34 , decoded number: 103581
Original number: 125 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 103607
Original number: 99 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 103633
Original number: 85 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 103647
Original number: 75 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 103657
Original number: 73 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 103659
Original number: 100 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 103686
Original number: 110 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 103696
Original number: 80 current diff number: 30 , quantizated number: 30 , dequantizated number: 30 , decoded number: 103726
Original number: 6 current diff number: 74 , quantizated number: 74 , dequantizated number: 74 , decoded number: 103800
Original number: 25 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 103819
Original number: 32 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 103826
Original number: 140 current diff number: 108 , quantizated number: 108 , dequantizated number: 108 , decoded number: 103934
Original number: 68 current diff number: 72 , quantizated number: 72 , dequantizated number: 72 , decoded number: 104006
Original number: 63 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 104011
Original number: 77 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 104025
Original number: 51 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 104051
Original number: 117 current diff number: 66 , quantizated number: 66 , dequantizated number: 66 , decoded number: 104117
Original number: 91 current diff number: 26 , quantizated number: 26 , dequantizated number: 26 , decoded number: 104143
Original number: 48 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 104186
Original number: 59 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 104197
Original number: 51 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 104205
Original number: 30 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 104226
Original number: 48 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 104244
Original number: 30 current diff number: 18 , quantizated number: 18 , dequantizated number: 18 , decoded number: 104262
Original number: 25 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 104267
Original number: 47 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 104289
Original number: 59 current diff number: 12 , quantizated number: 12 , dequantizated number: 12 , decoded number: 104301
Original number: 42 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 104318
Original number: 17 current diff number: 25 , quantizated number: 25 , dequantizated number: 25 , decoded number: 104343
Original number: 16 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 104344
Original number: 44 current diff number: 28 , quantizated number: 28 , dequantizated number: 28 , decoded number: 104372
Original number: 71 current diff number: 27 , quantizated number: 27 , dequantizated number: 27 , decoded number: 104399
Original number: 143 current diff number: 72 , quantizated number: 72 , dequantizated number: 72 , decoded number: 104471
Original number: 183 current diff number: 40 , quantizated number: 40 , dequantizated number: 40 , decoded number: 104511
Original number: 169 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 104525
Original number: 114 current diff number: 55 , quantizated number: 55 , dequantizated number: 55 , decoded number: 104580
Original number: 63 current diff number: 51 , quantizated number: 51 , dequantizated number: 51 , decoded number: 104631
Original number: 59 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 104635
Original number: 58 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 104636
Original number: 67 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 104645
Original number: 100 current diff number: 33 , quantizated number: 33 , dequantizated number: 33 , decoded number: 104678
Original number: 105 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 104683
Original number: 102 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 104686
Original number: 96 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 104692
Original number: 60 current diff number: 36 , quantizated number: 36 , dequantizated number: 36 , decoded number: 104728
Original number: 39 current diff number: 21 , quantizated number: 21 , dequantizated number: 21 , decoded number: 104749
Original number: 33 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 104755
Original number: 49 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 104771
Original number: 42 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 104778
Original number: 41 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 104779
Original number: 41 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 104779
Original number: 41 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 104779
Original number: 42 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 104780
Original number: 104 current diff number: 62 , quantizated number: 62 , dequantizated number: 62 , decoded number: 104842
Original number: 127 current diff number: 23 , quantizated number: 23 , dequantizated number: 23 , decoded number: 104865
Original number: 131 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 104869
Original number: 121 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 104879
Original number: 123 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 104881
Original number: 128 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 104886
Original number: 132 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 104890
Original number: 142 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 104900
Original number: 136 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 104906
Original number: 129 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 104913
Original number: 122 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 104920
Original number: 118 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 104924
Original number: 122 current diff number: 4 , quantizated number: 4 , dequantizated number: 4 , decoded number: 104928
Original number: 139 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 104945
Original number: 96 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 104988
Original number: 0 current diff number: 96 , quantizated number: 96 , dequantizated number: 96 , decoded number: 105084
Original number: 14 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 105098
Original number: 13 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105099
Original number: 12 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105100
Original number: 11 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105101
Original number: 11 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105101
Original number: 11 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105101
Original number: 12 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105102
Original number: 12 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105102
Original number: 13 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 13 current diff number: 0 , quantizated number: 0 , dequantizated number: 0 , decoded number: 105103
Original number: 15 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105105
Original number: 13 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105107
Original number: 14 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105108
Original number: 16 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105110
Original number: 14 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105112
Original number: 9 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 105117
Original number: 10 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105118
Original number: 15 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 105123
Original number: 13 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105125
Original number: 18 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 105130
Original number: 17 current diff number: 1 , quantizated number: 1 , dequantizated number: 1 , decoded number: 105131
Original number: 10 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 105138
Original number: 13 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 105141
Original number: 21 current diff number: 8 , quantizated number: 8 , dequantizated number: 8 , decoded number: 105149
Original number: 15 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 105155
Original number: 1 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 105169
Original number: 58 current diff number: 57 , quantizated number: 57 , dequantizated number: 57 , decoded number: 105226
Original number: 181 current diff number: 123 , quantizated number: 123 , dequantizated number: 123 , decoded number: 105349
Original number: 172 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 105358
Original number: 165 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 105365
Original number: 172 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 105372
Original number: 163 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 105381
Original number: 168 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 105386
Original number: 125 current diff number: 43 , quantizated number: 43 , dequantizated number: 43 , decoded number: 105429
Original number: 0 current diff number: 125 , quantizated number: 125 , dequantizated number: 125 , decoded number: 105554
Original number: 56 current diff number: 56 , quantizated number: 56 , dequantizated number: 56 , decoded number: 105610
Original number: 108 current diff number: 52 , quantizated number: 52 , dequantizated number: 52 , decoded number: 105662
Original number: 106 current diff number: 2 , quantizated number: 2 , dequantizated number: 2 , decoded number: 105664
Original number: 100 current diff number: 6 , quantizated number: 6 , dequantizated number: 6 , decoded number: 105670
Original number: 86 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 105684
Original number: 79 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 105691
Original number: 159 current diff number: 80 , quantizated number: 80 , dequantizated number: 80 , decoded number: 105771
Original number: 32 current diff number: 127 , quantizated number: 127 , dequantizated number: 127 , decoded number: 105898
Original number: 99 current diff number: 67 , quantizated number: 67 , dequantizated number: 67 , decoded number: 105965
Original number: 104 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 105970
Original number: 87 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 105987
Original number: 106 current diff number: 19 , quantizated number: 19 , dequantizated number: 19 , decoded number: 106006
Original number: 97 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 106015
Original number: 184 current diff number: 87 , quantizated number: 87 , dequantizated number: 87 , decoded number: 106102
Original number: 126 current diff number: 58 , quantizated number: 58 , dequantizated number: 58 , decoded number: 106160
Original number: 106 current diff number: 20 , quantizated number: 20 , dequantizated number: 20 , decoded number: 106180
Original number: 82 current diff number: 24 , quantizated number: 24 , dequantizated number: 24 , decoded number: 106204
Original number: 91 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 106213
Original number: 113 current diff number: 22 , quantizated number: 22 , dequantizated number: 22 , decoded number: 106235
Original number: 103 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 106245
Original number: 89 current diff number: 14 , quantizated number: 14 , dequantizated number: 14 , decoded number: 106259
Original number: 96 current diff number: 7 , quantizated number: 7 , dequantizated number: 7 , decoded number: 106266
Original number: 106 current diff number: 10 , quantizated number: 10 , dequantizated number: 10 , decoded number: 106276
Original number: 5 current diff number: 101 , quantizated number: 101 , dequantizated number: 101 , decoded number: 106377
Original number: 21 current diff number: 16 , quantizated number: 16 , dequantizated number: 16 , decoded number: 106393
Original number: 38 current diff number: 17 , quantizated number: 17 , dequantizated number: 17 , decoded number: 106410
Original number: 128 current diff number: 90 , quantizated number: 90 , dequantizated number: 90 , decoded number: 106500
Original number: 55 current diff number: 73 , quantizated number: 73 , dequantizated number: 73 , decoded number: 106573
Original number: 91 current diff number: 36 , quantizated number: 36 , dequantizated number: 36 , decoded number: 106609
Original number: 106 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 106624
Original number: 91 current diff number: 15 , quantizated number: 15 , dequantizated number: 15 , decoded number: 106639
Original number: 130 current diff number: 39 , quantizated number: 39 , dequantizated number: 39 , decoded number: 106678
Original number: 99 current diff number: 31 , quantizated number: 31 , dequantizated number: 31 , decoded number: 106709
Original number: 38 current diff number: 61 , quantizated number: 61 , dequantizated number: 61 , decoded number: 106770
Original number: 47 current diff number: 9 , quantizated number: 9 , dequantizated number: 9 , decoded number: 106779
Original number: 36 current diff number: 11 , quantizated number: 11 , dequantizated number: 11 , decoded number: 106790
Original number: 16 current diff number: 20 , quantizated number: 20 , dequantizated number: 20 , decoded number: 106810
Original number: 58 current diff number: 42 , quantizated number: 42 , dequantizated number: 42 , decoded number: 106852
Original number: 55 current diff number: 3 , quantizated number: 3 , dequantizated number: 3 , decoded number: 106855
Original number: 50 current diff number: 5 , quantizated number: 5 , dequantizated number: 5 , decoded number: 106860
